start_sec,file,end_sec,start_frame,end_frame
24,D:\logmel_outputs_9979\Tracy_6230\6230.220917120000.npz,27,3000,3375
66,D:\logmel_outputs_9979\Tracy_6230\6230.220917120000.npz,69,8250,8625
186,D:\logmel_outputs_9979\Tracy_6230\6230.220917120000.npz,189,23250,23625
224,D:\logmel_outputs_9979\Tracy_6230\6230.220917120000.npz,227,28000,28375
105,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,108,13125,13500
141,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,144,17625,18000
165,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,168,20625,21000
171,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,174,21375,21750
174,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,177,21750,22125
192,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,195,24000,24375
207,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,210,25875,26250
213,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,216,26625,27000
234,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,237,29250,29625
261,D:\logmel_outputs_9979\Tracy_6230\6230.221003000000.npz,264,32625,33000
102,D:\logmel_outputs_9979\Tracy_6230\6230.220915010000.npz,105,12750,13125
126,D:\logmel_outputs_9979\Tracy_6230\6230.220915010000.npz,129,15750,16125
180,D:\logmel_outputs_9979\Tracy_6230\6230.220915010000.npz,183,22500,22875
222,D:\logmel_outputs_9979\Tracy_6230\6230.220915010000.npz,225,27750,28125
